"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"JDR","JADAR RESOURCES LIMITED","1994-12-07","Materials",22346455
"JHC","JAPARA HEALTHCARE LIMITED","2014-04-17","Health Care Equipment & Services",368801313
"JHG","JANUS HENDERSON GROUP PLC","2008-10-27","Diversified Financials",12126684615
"JHX","JAMES HARDIE INDUSTRIES PLC","2001-10-15","Materials",23690714748
"JIN","JUMBO INTERACTIVE LIMITED","1972-06-14","Consumer Services",936874290
"JLG","JOHNS LYNG GROUP LIMITED","2017-10-26","Capital Goods",1281328351
"JMS","JUPITER MINES LIMITED.","2018-04-18","Materials",489747758
"JNO","JUNO MINERALS LIMITED","2021-05-14","Materials",23197860
"JPR","JUPITER ENERGY LIMITED","2003-11-12","Energy",5214842
"JRL","JINDALEE RESOURCES LIMITED","2002-07-11","Materials",185845802
"JRV","JERVOIS MINING LIMITED","1980-12-01","Materials",734637193
"JTL","JAYEX TECHNOLOGY LIMITED","2015-12-17","Health Care Equipment & Services",4629529
"JXT","JAXSTA LTD","2010-09-21","Software & Services",25276476
"JYC","JOYCE CORPORATION LTD","1986-12-17","Retailing",90167309
"K2F","K2FLY LIMITED","2008-02-19","Software & Services",34508302
"KAI","KAIROS MINERALS LIMITED","1973-05-30","Materials",51971852
"KAM","K2 ASSET MANAGEMENT HOLDINGS LTD","2007-11-29","Diversified Financials",19286816
"KAR","KAROON ENERGY LTD","2004-06-08","Energy",681894785
"KAT","KATANA CAPITAL LIMITED","2005-12-23","Not Applic",37316246
"KAU","KAISER REEF LIMITED","2020-02-28","Materials",26426742
"KBC","KEYBRIDGE CAPITAL LIMITED","1999-12-23","Diversified Financials",15204647
"KCC","KINCORA COPPER LIMITED","2021-03-30","Materials",22331725
"KCN","KINGSGATE CONSOLIDATED LIMITED.","1988-04-21","Materials",175325104
"KED","KEYPATH EDUCATION INTERNATIONAL INC.","2021-06-02","Consumer Services",728780868
"KEY","KEY PETROLEUM LIMITED","2007-04-26","Energy",5903784
"KFE","KOGI IRON LIMITED","1987-01-16","Materials",12274693
"KFM","KINGFISHER MINING LTD","2020-12-11","Materials",7605000
"KGD","KULA GOLD LIMITED","2010-11-16","Materials",10973957
"KGL","KGL RESOURCES LIMITED","2005-03-17","Materials",231465857
"KGM","KALNORTH GOLD MINES LIMITED","2005-01-20","Materials","N/A"
"KGN","KOGAN.COM LTD","2016-07-07","Retailing",1186459120
"KIN","KIN MINING NL","2013-10-02","Materials",95956289
"KIS","KING ISLAND SCHEELITE LIMITED","1967-09-21","Materials",69521990
"KKC","KKR CREDIT INCOME FUND","2019-11-21","Not Applic",806600000
"KKO","KINETIKO ENERGY LTD","2011-07-21","Energy",52415310
"KLA","KIRKLAND LAKE GOLD LTD","2017-11-30","Materials",11555061626
"KLL","KALIUM LAKES LIMITED","2016-12-22","Materials",172028077
